epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,561.044,0.85765,0.34361,0.89174,0.99827,1,0.995,0.97485,0.5356,0.22986,0.80888,0.000973814,0.000973814,0.000973814
106,566.991,0.83617,0.33547,0.90064,0.99702,0.99295,0.995,0.97839,0.51634,0.22836,0.8014,0.000973312,0.000973312,0.000973312
107,572.495,0.82674,0.3193,0.88967,0.99243,0.9986,0.995,0.97334,0.49016,0.23385,0.79217,0.000972806,0.000972806,0.000972806
108,577.858,0.82554,0.33004,0.87669,0.9986,1,0.995,0.9719,0.51866,0.2265,0.80077,0.000972296,0.000972296,0.000972296
109,582.963,0.90049,0.36492,0.90113,0.99783,1,0.995,0.96606,0.55335,0.23518,0.80836,0.00097178,0.00097178,0.00097178
110,587.867,0.88357,0.34874,0.897,0.99891,1,0.995,0.97963,0.49395,0.21966,0.78474,0.00097126,0.00097126,0.00097126
111,593.272,0.85566,0.34607,0.88722,0.99717,1,0.995,0.972,0.47017,0.22694,0.7887,0.000970736,0.000970736,0.000970736
112,597.981,0.81048,0.33415,0.87684,0.99706,0.99916,0.995,0.97051,0.52887,0.23828,0.79878,0.000970207,0.000970207,0.000970207
113,602.867,0.82818,0.32703,0.89225,0.99758,0.9992,0.995,0.97015,0.50188,0.22597,0.80271,0.000969673,0.000969673,0.000969673
114,608.692,0.78958,0.33032,0.87114,0.99657,0.99965,0.995,0.98495,0.48405,0.21837,0.78751,0.000969135,0.000969135,0.000969135
115,614.073,0.8597,0.33986,0.88996,0.99517,0.99907,0.995,0.98209,0.49255,0.21726,0.79257,0.000968592,0.000968592,0.000968592
116,619.827,0.91475,0.35311,0.91621,0.99794,0.99938,0.995,0.97789,0.50877,0.23175,0.80167,0.000968045,0.000968045,0.000968045
117,625.531,0.82284,0.34759,0.87974,0.99864,1,0.995,0.97323,0.5088,0.22207,0.80877,0.000967493,0.000967493,0.000967493
118,631.643,0.82218,0.32194,0.89425,0.99884,1,0.995,0.97539,0.53068,0.21946,0.80276,0.000966936,0.000966936,0.000966936
119,636.414,0.8813,0.3361,0.88716,0.9987,1,0.995,0.97523,0.51094,0.22261,0.79288,0.000966375,0.000966375,0.000966375
120,641.591,0.88119,0.34544,0.88819,0.99812,1,0.995,0.97134,0.51005,0.23303,0.79825,0.00096581,0.00096581,0.00096581
121,647.429,0.83933,0.33838,0.8913,0.99824,1,0.995,0.96122,0.54493,0.23377,0.79444,0.000965239,0.000965239,0.000965239
122,652.901,0.8795,0.34225,0.90256,0.99738,1,0.995,0.97613,0.51196,0.23071,0.7899,0.000964665,0.000964665,0.000964665
123,657.841,0.83928,0.33583,0.87791,0.99861,1,0.995,0.97069,0.4987,0.22649,0.79205,0.000964085,0.000964085,0.000964085
124,663.415,0.81509,0.32766,0.88215,0.99844,1,0.995,0.97881,0.4855,0.22002,0.79795,0.000963502,0.000963502,0.000963502
125,668.636,0.79512,0.3294,0.87845,0.99776,1,0.995,0.97307,0.47704,0.22751,0.78898,0.000962913,0.000962913,0.000962913
126,674.047,0.80014,0.32317,0.88209,0.99777,0.99878,0.995,0.97255,0.48961,0.2289,0.78717,0.00096232,0.00096232,0.00096232
127,679.834,0.82541,0.32637,0.89987,0.99815,1,0.995,0.97653,0.48338,0.22407,0.78695,0.000961723,0.000961723,0.000961723
128,685.378,0.77083,0.31443,0.88294,0.99885,1,0.995,0.97703,0.49415,0.22934,0.80894,0.000961121,0.000961121,0.000961121
129,690.63,0.81995,0.33526,0.885,0.99866,1,0.995,0.97138,0.50789,0.22225,0.81005,0.000960515,0.000960515,0.000960515
130,696.479,0.83188,0.33674,0.90768,0.9989,1,0.995,0.9776,0.49914,0.22221,0.79585,0.000959904,0.000959904,0.000959904
131,702.091,0.83629,0.3367,0.88906,0.99876,1,0.995,0.96913,0.51438,0.21975,0.79435,0.000959289,0.000959289,0.000959289
